,agent1_P9,agent1_P5,agent1_P6,agent1_P7,agent1_P3,agent1_P4,agent1_P2,agent1_P0,agent1_P8,agent1_P1,[agent1_P3| agent1_P4| agent1_P5| agent1_P6| agent1_P7| agent1_P9],[agent1_P0| agent1_P2| agent1_P5],[agent1_P0| agent1_P5| agent1_P6| agent1_P8],[agent1_P0| agent1_P2| agent1_P3| agent1_P8],[agent1_P2| agent1_P3| agent1_P8],[agent1_P5| agent1_P9],[agent1_P0| agent1_P1| agent1_P2| agent1_P5| agent1_P9],[agent1_P5| agent1_P6],[agent1_P6],[agent1_P0| agent1_P2| agent1_P3| agent1_P4| agent1_P6| agent1_P7| agent1_P8| agent1_P9],[agent1_P0| agent1_P1| agent1_P2| agent1_P7| agent1_P8],[agent1_P0| agent1_P6| agent1_P7| agent1_P8],[agent1_P1| agent1_P2| agent1_P4| agent1_P6| agent1_P8| agent1_P9],[agent1_P4],[agent1_P0| agent1_P1| agent1_P2| agent1_P3| agent1_P4| agent1_P5| agent1_P7| agent1_P9],[agent1_P0| agent1_P1| agent1_P3| agent1_P4| agent1_P5],[agent1_P2| agent1_P3| agent1_P4],[agent1_P0| agent1_P2| agent1_P9],[agent1_P2| agent1_P3| agent1_P4| agent1_P8| agent1_P9],[agent1_P0| agent1_P3| agent1_P4| agent1_P5| agent1_P8],[agent1_P0| agent1_P2| agent1_P4],[agent1_P2| agent1_P4| agent1_P5| agent1_P6| agent1_P7| agent1_P8],[agent1_P0| agent1_P1| agent1_P8],[agent1_P1| agent1_P2| agent1_P6| agent1_P8| agent1_P9],[agent1_P0| agent1_P2| agent1_P4| agent1_P5| agent1_P6| agent1_P8| agent1_P9],[agent1_P3| agent1_P5| agent1_P8],[agent1_P9],[agent1_P0| agent1_P1| agent1_P2| agent1_P3| agent1_P4| agent1_P9],[agent1_P1| agent1_P3| agent1_P5],[agent1_P0| agent1_P1| agent1_P2| agent1_P4| agent1_P5| agent1_P6| agent1_P7| agent1_P8| agent1_P9],[agent1_P5| agent1_P6],[agent1_P1| agent1_P4| agent1_P5| agent1_P8| agent1_P9],[agent1_P0| agent1_P3| agent1_P5| agent1_P7],[agent1_P3| agent1_P8| agent1_P9]
O:HIGH:07,14.719179433764092,13.647919816520652,14.71807351378037,13.639732009689013,13.647217415753074,14.717520552173031,-6.238940950684769E-5,-0.008698052589993729,-0.006983261685429886,-0.007536505525503486,3.2399375839213005,-0.009748062119999016,0.09425414618552932,-0.00864625713066033,-0.008641573635425653,-0.008145120726391581,6.964102931358043E-4,-0.008641859294315244,-5.533604563622613E-5,-5.5338047059576604E-5,-0.008694541770795155,-0.006983827917489242,-0.008642139870087216,-0.009752175099696414,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,-0.006982413063497817,-0.00974834523544495,-0.007536505525503486,-0.008641576034136926,-0.00808833248345458,-0.00919453559904888,-0.006983262119924949,-0.0097486282063807,-0.007536761391937841,-0.008093293492357635,-5.571282345086435E-5,-0.009752580279348822,-0.009752580279348822,-0.009199213492357637,-6.241391035108888E-5,-0.009199220582005244,-0.007540340582005241,
O:HIGH:08,-0.00919509987008722,14.719732395576031,-0.007536788206380699,0.09419569498811098,-0.0075359066104875696,-0.009752175099696414,14.719183828123072,14.718630868557936,-5.177076278675127E-5,-0.007540695089617203,0.11499016865447045,4.320691348743545,-0.00808889929431524,-0.007535939149656926,6.913711896069773E-4,-0.008641293063275128,-0.009199220582005244,-0.006983545090638087,-0.00698737713066033,-0.00753650525217907,-5.530607126672419E-5,-0.006983827917489242,-0.008642139870087216,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,6.471119319725542E-4,-0.009247477271726862,-0.00974834523544495,6.917255882447075E-4,-0.0075362221202216655,-0.00808833248345458,-0.007540337129733093,-0.00808833248345458,0.10801615604318227,-0.00808889871479141,-0.008093293492357635,-5.571282345086435E-5,-0.00919453559904888,-0.009752580279348822,-6.238939370083894E-5,-6.241391035108888E-5,-5.176532789410932E-5,-0.008641292483454582,
O:HIGH:10,-0.00919509987008722,17.959732395576033,16.87807351378037,-5.530427560496083E-5,-0.007540337129733093,-0.009752175099696414,-0.008088899149656926,16.878630868557938,15.807210345109121,-0.007540695089617203,-0.008705128664197552,-0.009748062119999016,5.391911100705685,-0.00864625713066033,-0.008641573635425653,-0.008641293063275128,-0.008705128664197552,-0.008093700436438677,0.006841020705684763,-0.007540331694842347,-0.008694541770795155,-0.006983827917489242,-0.008642139870087216,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,-0.008641292483454582,-0.00974834523544495,-6.241389885886273E-5,-0.008698052589993729,-0.00808833248345458,-0.00698737713066033,-0.006987802928584499,-0.009747495599048878,-0.007536761391937841,-4.856717933320307E-5,-0.00813801832587286,-0.009752580279348822,-0.009752580279348822,-0.009752173492357637,-0.006987375316865574,-0.009195102119924952,-0.007540340582005241,
Y:HIGH:07,-0.00919509987008722,6.471777114291303E-4,-0.00808889871479141,-0.009748345525503488,13.639732390142994,-0.008089181685429886,13.639183828123072,15.808008664919289,14.727210345109121,-0.008642424945757154,-6.241651378783248E-5,-0.009748062119999016,-0.00808889929431524,3.2313537428693397,-0.008641573635425653,-0.008145120726391581,0.09420982423949183,-0.008093700436438677,-5.533604563622613E-5,-0.00753650525217907,6.913258908340524E-4,-0.006983827917489242,-0.006987760198433723,-0.00864625713066033,-0.009199220582005244,4.42688365089809E-6,-0.009747213063497817,-0.008641573635425653,-0.00974834523544495,-0.008093293508636152,0.09420631001095377,-0.00808889871479141,-0.00919453559904888,-0.006987802928584499,5.589898793886109E-4,-0.008641858714791412,-0.008093293492357635,-5.884502783391285E-5,0.10111477649906185,-0.008093293508636152,-0.009199213492357637,-0.008089721392864128,-0.009195102119924952,-0.008641292483454582,
M:HIGH:05,-0.00919509987008722,6.913033986763667E-4,-0.007540331696695874,-0.009748345525503488,15.807875670329238,-0.009752175099696414,15.908438918733548,-0.008641858714791412,13.647210345109121,-0.007540695089617203,-0.008088899149656926,-0.00864625713066033,-0.008093295316865576,-0.00129291998201011,3.2399482029215445,-0.008145120726391581,-0.007540695089617203,-0.0069829792943152435,-5.176532789410932E-5,-0.00753650525217907,-0.008694541770795155,-0.006983827917489242,-5.177257658745394E-5,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,-6.238216360638605E-5,-0.0075367859391593465,-6.241389885886273E-5,-5.530789948361757E-5,-0.00808833248345458,-0.00919453559904888,-5.884502783391285E-5,-0.0097486282063807,-0.008641858714791412,-0.008088615599048879,-5.571282345086435E-5,-0.009752580279348822,0.01624951378036964,-0.009199213492357637,-0.008089721392864128,-0.008705128664197552,0.12185431906879358,
O:HIGH:02,15.799183827978412,16.981526896084286,-0.007536788206380699,-0.007540717583715652,-5.885046643450275E-5,-0.009752175099696414,-0.0075367879174892405,-0.008641858714791412,-0.007535372773735921,-0.009199220582005244,-0.007536788206380699,-0.0069835452358159205,-0.00808889929431524,-0.007535939149656926,-0.008641573635425653,5.390251371793619,0.08734219146081967,0.12190218874620516,-0.008089179870087218,-5.5338047059576604E-5,-0.008694541770795155,-6.238216360638605E-5,-5.571282345086435E-5,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,0.12185785257975873,-0.009247477271726862,-0.00974834523544495,-0.009199220582005244,-5.530789948361757E-5,-0.00808833248345458,-0.00698737713066033,-5.884502783391285E-5,-0.007536788206380699,6.070897416650383E-4,-0.008093293492357635,-0.009199213492357637,-0.009752580279348822,-0.008093293508636152,-0.009199213492357637,-6.238941136322232E-5,-0.009199220582005244,-0.008088333063275242,
O:HIGH:04,13.639183827978412,13.741526873481426,-0.007536788061202901,-0.007540717583715652,-0.007042739681999865,-0.009752175099696414,13.639183828123072,13.638630868557936,-5.177076278675127E-5,13.63973203218311,-0.007536788206380699,-0.009748062119999016,-0.008093295316865576,-5.571282345086435E-5,-5.179707845527138E-5,-0.008641293063275128,3.2324593049103827,-0.006983545090638087,-5.530427189410933E-5,7.359376465604196E-4,5.5902423428676E-4,-0.006983827917489242,-5.177257658745394E-5,-0.008698050776197553,-0.009748342986535407,-0.007540335315937386,-0.009747213063497817,-5.884502783391285E-5,-5.530789948361757E-5,-6.241389885886273E-5,-0.0075362221202216655,-0.00808833248345458,-0.007540337129733093,-0.006987802928584499,-0.0097486282063807,0.09419924117894052,-0.008093293492357635,-5.884502783391285E-5,-0.00919453559904888,-0.009752580279348822,-0.009199213492357637,-6.238941136322232E-5,-0.009199220582005244,-0.008641292483454582,
M:HIGH:04,-0.00919509987008722,13.639732395576033,14.718631151673678,-0.007540717583715652,-5.179707845527138E-5,-0.009752175099696414,-0.0075367879174892405,-0.008698052589993729,-6.238216360638605E-5,-0.007540717583715652,-0.007536788206380699,7.355628479239105E-4,-0.00808889929431524,-5.530427560496083E-5,-0.009748345525503488,0.12190697037611771,-0.007540695089617203,3.233016454909362,-5.533604563622613E-5,4.424631661973205E-6,-0.007540331694842347,-0.006983827917489242,-0.0075356555990488796,6.913939956605724E-4,-0.009748342986535407,-0.007540335315937386,-0.009747213063497817,-6.238216360638605E-5,-0.00974834523544495,0.10802324117894054,-0.0075362221202216655,4.993286295970295E-6,-0.007540337129733093,-5.884502783391285E-5,-0.007032124850182338,4.993111908709019E-6,-0.008093293492357635,-5.884502783391285E-5,6.032272465604193E-4,-0.009752580279348822,3.239937610606299,-6.238941136322232E-5,-0.008705128664197552,-0.008641292483454582,
Y:HIGH:04,-6.238216360638605E-5,-0.007540331696695874,13.63807351378037,-5.530427560496083E-5,-0.0075359066104875696,-0.0075362221202216655,-0.008641292483454582,-0.008698052589993729,6.032272465604193E-4,-0.008642424945757154,-0.007536788206380699,-0.009748062119999016,-0.008093295316865576,-5.571282345086435E-5,-0.009748345525503488,-0.008145120726391581,-0.007540695089617203,-0.007039200726391579,3.231910820129913,7.359376465604196E-4,-0.008694541770795155,-6.238578748361756E-5,-0.008642139870087216,-0.00864625713066033,-0.009199220582005244,-0.007540335315937386,-0.009747213063497817,-5.884502783391285E-5,-0.0075367859391593465,-6.241389885886273E-5,-0.0075362221202216655,-0.007536788206232454,-0.008641858714791412,-5.884502783391285E-5,7.798674212604866E-4,-0.007536761391937841,-0.008093293492357635,-5.571282345086435E-5,-0.009752580279348822,-0.009752580279348822,-0.009199213492357637,-0.008089721392864128,0.10111123393489263,-0.007540340582005241,
M:HIGH:10,16.98147196664344,-0.007540331696695874,14.719735939066346,14.717524381747225,15.800229987590727,14.717520552173031,15.799735939355239,14.718630868557936,14.72722095650994,-0.007540717583715652,-0.007536788206380699,-0.00864625713066033,-0.00808889929431524,-0.00864625713066033,-0.008641573635425653,-0.00919509987008722,-0.008705128664197552,-0.0069829792943152435,-5.530427189410933E-5,4.312463494747821,6.917005704528265E-4,-0.008641858714791412,-0.008642139870087216,-0.00864625713066033,-0.009752557630089418,-0.007540335315937386,-0.009747213063497817,-5.884502783391285E-5,-0.0075367859391593465,-6.241389885886273E-5,-0.008641576034136926,-5.176532789410932E-5,-0.007540337129733093,-5.884502783391285E-5,-0.007536788206380699,-0.007536761391937841,-0.008088615599048879,-0.007535939149656926,-0.009752580279348822,-0.008641293063275128,-0.009199213492357637,0.09420982423949183,-0.008705128664197552,-0.008641292483454582,
